Song,Emotion,Valence,Arousal
if u seek amy,worried,5.60433093427916,4.251475409836066
right place wrong time,worried,5.60433093427916,4.251475409836066
american pie,worried,5.60433093427916,4.251475409836066
expressway to your heart,embarassed,5.1594428234618945,3.8555737704918034
celebration,amused,6.753625220557094,4.972581967213115
do you really want to hurt me,apathetic,5.363349874253141,4.534262295081967
this is the night,pensive,5.78970098045302,3.8555737704918034
she wants to dance with me,impressed,6.457033146678917,4.619098360655737
nothing from nothing,pensive,5.78970098045302,3.8555737704918034
never gonna give you up,worried,5.60433093427916,4.251475409836066
hold me,worried,5.60433093427916,4.251475409836066
barbara ann,apathetic,5.363349874253141,4.534262295081967
shake your love,impressed,6.457033146678917,4.619098360655737
me and mrs jones,pensive,5.78970098045302,3.8555737704918034
the one that you love,peaceful,6.753625220557094,3.5727868852459017
club cant handle me,pensive,5.78970098045302,3.8555737704918034
come on down to my boat,pensive,5.78970098045302,3.8555737704918034
party up up in here,worried,5.60433093427916,4.251475409836066
chuck es in love,pensive,5.78970098045302,3.8555737704918034
youve lost that lovin feelin,pensive,5.78970098045302,3.8555737704918034
wake me up,pensive,5.78970098045302,3.8555737704918034
if today was your last day,worried,5.60433093427916,4.251475409836066
love in an elevator,impressed,6.457033146678917,4.619098360655737
got a hold on me,determined,7.0872913036700425,5.07155737704918
end of the road,pensive,5.78970098045302,3.8555737704918034
spooky,impressed,6.457033146678917,4.619098360655737
surrender to me,worried,5.60433093427916,4.251475409836066
feelings,impressed,6.457033146678917,4.619098360655737
you dont have to say you love me,pensive,5.78970098045302,3.8555737704918034
youve got your troubles,worried,5.60433093427916,4.251475409836066
if you leave,pensive,5.78970098045302,3.8555737704918034
whats new pussycat,pensive,5.78970098045302,3.8555737704918034
diamonds and pearls,contemplative,6.809236234409252,3.8555737704918034
let my love open the door,pensive,5.78970098045302,3.8555737704918034
dont forget about us,pensive,5.78970098045302,3.8555737704918034
you might think,apathetic,5.363349874253141,4.534262295081967
stir it up,pensive,5.78970098045302,3.8555737704918034
shes just my style,pensive,5.78970098045302,3.8555737704918034
im different,worried,5.60433093427916,4.251475409836066
i belong to you every time i see your face,hopeful,6.86484724826141,4.279754098360655
this kiss,impressed,6.457033146678917,4.619098360655737
i hear you knocking,pensive,5.78970098045302,3.8555737704918034
my humps,worried,5.60433093427916,4.251475409836066
music,impressed,6.457033146678917,4.619098360655737
bedrock,pensive,5.78970098045302,3.8555737704918034
everything she wants,worried,5.60433093427916,4.251475409836066
exhale shoop shoop,pensive,5.78970098045302,3.8555737704918034
money maker,worried,5.60433093427916,4.251475409836066
love on a twoway street,apathetic,5.363349874253141,4.534262295081967
when a man loves a woman,pensive,5.78970098045302,3.8555737704918034
trying to hold on to my woman,impressed,6.457033146678917,4.619098360655737
gypsys tramps  thieves,pensive,5.78970098045302,3.8555737704918034
american woman,pensive,5.78970098045302,3.8555737704918034
the chokin kind,impressed,6.457033146678917,4.619098360655737
playboy,worried,5.60433093427916,4.251475409836066
shop around,impressed,6.457033146678917,4.619098360655737
da doo ron ron,peaceful,6.753625220557094,3.5727868852459017
locked up,embarassed,5.1594428234618945,3.8555737704918034
mesmerize,impressed,6.457033146678917,4.619098360655737
young turks,pensive,5.78970098045302,3.8555737704918034
blue bayou,pensive,5.78970098045302,3.8555737704918034
she will be loved,pensive,5.78970098045302,3.8555737704918034
nobody knows,worried,5.60433093427916,4.251475409836066
are you happy now,impressed,6.457033146678917,4.619098360655737
you made me believe in magic,impressed,6.457033146678917,4.619098360655737
heaven must be missing an angel,hopeful,6.86484724826141,4.279754098360655
fields of gold,worried,5.60433093427916,4.251475409836066
the sound of silence,melancholy,5.6414049435139315,3.7848770491803276
what have i done to deserve this,pensive,5.78970098045302,3.8555737704918034
aint it funny,impressed,6.457033146678917,4.619098360655737
sweet dreams are made of this,apathetic,5.363349874253141,4.534262295081967
1999,impressed,6.457033146678917,4.619098360655737
pick up the pieces,pensive,5.78970098045302,3.8555737704918034
typical male,worried,5.60433093427916,4.251475409836066
to all the girls ive loved before,hopeful,6.86484724826141,4.279754098360655
take it away,pensive,5.78970098045302,3.8555737704918034
buy u a drank,pensive,5.78970098045302,3.8555737704918034
thank you,pensive,5.78970098045302,3.8555737704918034
runaway train,pensive,5.78970098045302,3.8555737704918034
you remind me of something,impressed,6.457033146678917,4.619098360655737
solitaire,melancholy,5.6414049435139315,3.7848770491803276
thats that,worried,5.60433093427916,4.251475409836066
forever and for always,contemplative,6.809236234409252,3.8555737704918034
dont shed a tear,worried,5.60433093427916,4.251475409836066
take my heart you can have it if you want it,impressed,6.457033146678917,4.619098360655737
grenade,apathetic,5.363349874253141,4.534262295081967
addictive,apathetic,5.363349874253141,4.534262295081967
praying for time,pensive,5.78970098045302,3.8555737704918034
na na,pensive,5.78970098045302,3.8555737704918034
i wish it would rain,pensive,5.78970098045302,3.8555737704918034
it might be you,pensive,5.78970098045302,3.8555737704918034
let me clear my throat,pensive,5.78970098045302,3.8555737704918034
moment 4 life,worried,5.60433093427916,4.251475409836066
get it shawty,pensive,5.78970098045302,3.8555737704918034
paparazzi,pensive,5.78970098045302,3.8555737704918034
papa was a rollin stone,pensive,5.78970098045302,3.8555737704918034
who says you cant go home,pensive,5.78970098045302,3.8555737704918034
honey,impressed,6.457033146678917,4.619098360655737
titanium,apathetic,5.363349874253141,4.534262295081967
fuckin problems,worried,5.60433093427916,4.251475409836066
hey jealousy,melancholy,5.6414049435139315,3.7848770491803276
days go by,impressed,6.457033146678917,4.619098360655737
little green apples,pensive,5.78970098045302,3.8555737704918034
luv u better,worried,5.60433093427916,4.251475409836066
rhythm of the night,worried,5.60433093427916,4.251475409836066
a milli,apathetic,5.363349874253141,4.534262295081967
freezeframe,worried,5.60433093427916,4.251475409836066
something so strong,worried,5.60433093427916,4.251475409836066
southern nights,pensive,5.78970098045302,3.8555737704918034
baby i need your lovin,pensive,5.78970098045302,3.8555737704918034
back to the hotel,worried,5.60433093427916,4.251475409836066
city of new orleans,pensive,5.78970098045302,3.8555737704918034
make me lose control,worried,5.60433093427916,4.251475409836066
butterflies,hopeful,6.86484724826141,4.279754098360655
uh huh,pensive,5.78970098045302,3.8555737704918034
elusive butterfly,worried,5.60433093427916,4.251475409836066
teenage dream,pensive,5.78970098045302,3.8555737704918034
anything for you,pensive,5.78970098045302,3.8555737704918034
spend my life with you,impressed,6.457033146678917,4.619098360655737
jack  diane,worried,5.60433093427916,4.251475409836066
love me harder,impressed,6.457033146678917,4.619098360655737
stickup,apathetic,5.363349874253141,4.534262295081967
lets get married,pensive,5.78970098045302,3.8555737704918034
footloose,apathetic,5.363349874253141,4.534262295081967
a thousand years,pensive,5.78970098045302,3.8555737704918034
somethin bad,worried,5.60433093427916,4.251475409836066
its five oclock somewhere,pensive,5.78970098045302,3.8555737704918034
teardrops on my guitar,contemplative,6.809236234409252,3.8555737704918034
and our feelings,pensive,5.78970098045302,3.8555737704918034
ill be good to you,relaxed,7.050217294435271,3.7848770491803276
glamorous,impressed,6.457033146678917,4.619098360655737
me and you and a dog named boo,worried,5.60433093427916,4.251475409836066
whats it gonna be,peaceful,6.753625220557094,3.5727868852459017
good for me,contemplative,6.809236234409252,3.8555737704918034
adia,pensive,5.78970098045302,3.8555737704918034
silence is golden,pensive,5.78970098045302,3.8555737704918034
soul survivor,worried,5.60433093427916,4.251475409836066
lean on me,pensive,5.78970098045302,3.8555737704918034
thats my kind of night,contemplative,6.809236234409252,3.8555737704918034
white walls,worried,5.60433093427916,4.251475409836066
big poppa,worried,5.60433093427916,4.251475409836066
some nights,pensive,5.78970098045302,3.8555737704918034
the hills,pensive,5.78970098045302,3.8555737704918034
youve made me so very happy,impressed,6.457033146678917,4.619098360655737
cry me a river,worried,5.60433093427916,4.251475409836066
welcome to the black parade,worried,5.60433093427916,4.251475409836066
the middle,pensive,5.78970098045302,3.8555737704918034
kiss me,impressed,6.457033146678917,4.619098360655737
shake ya tailfeather,worried,5.60433093427916,4.251475409836066
real love,hopeful,6.86484724826141,4.279754098360655
goodbye,pensive,5.78970098045302,3.8555737704918034
dont wanna fall in love,worried,5.60433093427916,4.251475409836066
the breakup song they dont write em,pensive,5.78970098045302,3.8555737704918034
because of love,hopeful,6.86484724826141,4.279754098360655
down by the lazy river,pensive,5.78970098045302,3.8555737704918034
you belong to the city,pensive,5.78970098045302,3.8555737704918034
jackie blue,impressed,6.457033146678917,4.619098360655737
nights in white satin,hopeful,6.86484724826141,4.279754098360655
the groove line,worried,5.60433093427916,4.251475409836066
everything is beautiful,contemplative,6.809236234409252,3.8555737704918034
heaven knows,pensive,5.78970098045302,3.8555737704918034
here we are,pensive,5.78970098045302,3.8555737704918034
cast your fate to the wind,pensive,5.78970098045302,3.8555737704918034
say it right,apathetic,5.363349874253141,4.534262295081967
TRUE,melancholy,5.6414049435139315,3.7848770491803276
rhythm is gonna get you,pensive,5.78970098045302,3.8555737704918034
over my head cable car,worried,5.60433093427916,4.251475409836066
southern hospitality,worried,5.60433093427916,4.251475409836066
get used to it,impressed,6.457033146678917,4.619098360655737
21 questions,impressed,6.457033146678917,4.619098360655737
i go crazy,worried,5.60433093427916,4.251475409836066
get it on,worried,5.60433093427916,4.251475409836066
the way we were,pensive,5.78970098045302,3.8555737704918034
i want you back,melancholy,5.6414049435139315,3.7848770491803276
unchained melody,pensive,5.78970098045302,3.8555737704918034
i love college,impressed,6.457033146678917,4.619098360655737
hurting each other,worried,5.60433093427916,4.251475409836066
heard it in a love song,hopeful,6.86484724826141,4.279754098360655
romeo,impressed,6.457033146678917,4.619098360655737
never again,pensive,5.78970098045302,3.8555737704918034
weve got tonight,pensive,5.78970098045302,3.8555737704918034
for the love of money,worried,5.60433093427916,4.251475409836066
telephone line,pensive,5.78970098045302,3.8555737704918034
shakedown,embarassed,5.1594428234618945,3.8555737704918034
then,contemplative,6.809236234409252,3.8555737704918034
la bamba,bored,5.085294804992351,3.6010655737704917
i love you for all seasons,hopeful,6.86484724826141,4.279754098360655
in the end,melancholy,5.6414049435139315,3.7848770491803276
imma be,pensive,5.78970098045302,3.8555737704918034
collide,embarassed,5.1594428234618945,3.8555737704918034
just my imagination running away with me,hopeful,6.86484724826141,4.279754098360655
heaven,pensive,5.78970098045302,3.8555737704918034
stupid girls,worried,5.60433093427916,4.251475409836066
love remains the same,pensive,5.78970098045302,3.8555737704918034
oh boy,worried,5.60433093427916,4.251475409836066
what you got,pensive,5.78970098045302,3.8555737704918034
beautiful sunday,impressed,6.457033146678917,4.619098360655737
coming up,pensive,5.78970098045302,3.8555737704918034
the locomotion,pensive,5.78970098045302,3.8555737704918034
black balloon,pensive,5.78970098045302,3.8555737704918034
everything your heart desires,pensive,5.78970098045302,3.8555737704918034
crash and burn,worried,5.60433093427916,4.251475409836066
the one and only,sleepy,5.752626971218248,3.29
endless summer nights,pensive,5.78970098045302,3.8555737704918034
everybody everybody,pensive,5.78970098045302,3.8555737704918034
pleasant valley sunday,pensive,5.78970098045302,3.8555737704918034
oh girl,pensive,5.78970098045302,3.8555737704918034
doesnt somebody want to be wanted,pensive,5.78970098045302,3.8555737704918034
i just died in your arms,pensive,5.78970098045302,3.8555737704918034
get lucky,contemplative,6.809236234409252,3.8555737704918034
victory,worried,5.60433093427916,4.251475409836066
addicted,worried,5.60433093427916,4.251475409836066
cupids chokehold,pensive,5.78970098045302,3.8555737704918034
bitch,worried,5.60433093427916,4.251475409836066
this is it,pensive,5.78970098045302,3.8555737704918034
cant get you out of my head,pensive,5.78970098045302,3.8555737704918034
eye in the sky,pensive,5.78970098045302,3.8555737704918034
change clothes,worried,5.60433093427916,4.251475409836066
independent,worried,5.60433093427916,4.251475409836066
abracadabra,worried,5.60433093427916,4.251475409836066
yah mo b there,melancholy,5.6414049435139315,3.7848770491803276
get closer,impressed,6.457033146678917,4.619098360655737
what do you mean,apathetic,5.363349874253141,4.534262295081967
meet me halfway,pensive,5.78970098045302,3.8555737704918034
mr tambourine man,pensive,5.78970098045302,3.8555737704918034
i need to know,pensive,5.78970098045302,3.8555737704918034
on the radio,pensive,5.78970098045302,3.8555737704918034
american soldier,worried,5.60433093427916,4.251475409836066
love is all around,contemplative,6.809236234409252,3.8555737704918034
strong enough,worried,5.60433093427916,4.251475409836066
you dont mess around with jim,embarassed,5.1594428234618945,3.8555737704918034
everybody talks,worried,5.60433093427916,4.251475409836066
1 thing,melancholy,5.6414049435139315,3.7848770491803276
rock witcha,contemplative,6.809236234409252,3.8555737704918034
dont worry baby,apathetic,5.363349874253141,4.534262295081967
the devil went down to georgia,worried,5.60433093427916,4.251475409836066
sugar gimme some,pensive,5.78970098045302,3.8555737704918034
mandy,pensive,5.78970098045302,3.8555737704918034
cest la vie,pensive,5.78970098045302,3.8555737704918034
here comes the rain again,impressed,6.457033146678917,4.619098360655737
daniel,pensive,5.78970098045302,3.8555737704918034
you light up my life,pensive,5.78970098045302,3.8555737704918034
18 and life,apathetic,5.363349874253141,4.534262295081967
lido shuffle,worried,5.60433093427916,4.251475409836066
dont lie,worried,5.60433093427916,4.251475409836066
born a woman,pensive,5.78970098045302,3.8555737704918034
truly madly deeply,contemplative,6.809236234409252,3.8555737704918034
what ive done,melancholy,5.6414049435139315,3.7848770491803276
grease,worried,5.60433093427916,4.251475409836066
if you can want,pensive,5.78970098045302,3.8555737704918034
bad moon rising,apathetic,5.363349874253141,4.534262295081967
get on the good foot,pensive,5.78970098045302,3.8555737704918034
one night in bangkok,pensive,5.78970098045302,3.8555737704918034
247,pensive,5.78970098045302,3.8555737704918034
masterpiece,contemplative,6.809236234409252,3.8555737704918034
i wanna love you forever,impressed,6.457033146678917,4.619098360655737
whered you go,pensive,5.78970098045302,3.8555737704918034
the lion sleeps tonight,worried,5.60433093427916,4.251475409836066
throwing it all away,pensive,5.78970098045302,3.8555737704918034
somebody that i used to know,pensive,5.78970098045302,3.8555737704918034
give me just one night una noche,contemplative,6.809236234409252,3.8555737704918034
wanted,pensive,5.78970098045302,3.8555737704918034
westside,worried,5.60433093427916,4.251475409836066
go all the way,pensive,5.78970098045302,3.8555737704918034
rich girl,impressed,6.457033146678917,4.619098360655737
wasted on the way,pensive,5.78970098045302,3.8555737704918034
check on it,pensive,5.78970098045302,3.8555737704918034
write this down,pensive,5.78970098045302,3.8555737704918034
shining star,impressed,6.457033146678917,4.619098360655737
if you could read my mind,pensive,5.78970098045302,3.8555737704918034
maniac,apathetic,5.363349874253141,4.534262295081967
refugee,impressed,6.457033146678917,4.619098360655737
lay me down,pensive,5.78970098045302,3.8555737704918034
with or without you,impressed,6.457033146678917,4.619098360655737
so sick,embarassed,5.1594428234618945,3.8555737704918034
the most beautiful girl in the world,contemplative,6.809236234409252,3.8555737704918034
never make a promise,impressed,6.457033146678917,4.619098360655737
the happiest girl in the whole usa,contemplative,6.809236234409252,3.8555737704918034
wasting my time,melancholy,5.6414049435139315,3.7848770491803276
thats rock n roll,pensive,5.78970098045302,3.8555737704918034
gangstas paradise,worried,5.60433093427916,4.251475409836066
dont turn around,worried,5.60433093427916,4.251475409836066
after the lovin,hopeful,6.86484724826141,4.279754098360655
be thankful for what you got,sleepy,5.752626971218248,3.29
its not my time,pensive,5.78970098045302,3.8555737704918034
give me just a little more time,pensive,5.78970098045302,3.8555737704918034
power of love,impressed,6.457033146678917,4.619098360655737
uptown girl,impressed,6.457033146678917,4.619098360655737
come with me,apathetic,5.363349874253141,4.534262295081967
havent met you yet,impressed,6.457033146678917,4.619098360655737
going in circles,pensive,5.78970098045302,3.8555737704918034
hook,embarassed,5.1594428234618945,3.8555737704918034
hard habit to break,apathetic,5.363349874253141,4.534262295081967
no more i love yous,impressed,6.457033146678917,4.619098360655737
whats forever for,impressed,6.457033146678917,4.619098360655737
clarity,apathetic,5.363349874253141,4.534262295081967
when you close your eyes,pensive,5.78970098045302,3.8555737704918034
ramblin gamblin man,worried,5.60433093427916,4.251475409836066
coming on strong,worried,5.60433093427916,4.251475409836066
roni,hopeful,6.86484724826141,4.279754098360655
shake it up,worried,5.60433093427916,4.251475409836066
one hundred ways,contemplative,6.809236234409252,3.8555737704918034
got money,worried,5.60433093427916,4.251475409836066
were not making love no more,worried,5.60433093427916,4.251475409836066
twisted,impressed,6.457033146678917,4.619098360655737
love or let me be lonely,pensive,5.78970098045302,3.8555737704918034
underneath it all,impressed,6.457033146678917,4.619098360655737
the earth the sun the rain,hopeful,6.86484724826141,4.279754098360655
heartbreak hotel,apathetic,5.363349874253141,4.534262295081967
this diamond ring,impressed,6.457033146678917,4.619098360655737
el perdon,discontent,4.473573652618612,4.251475409836066
devils gun,apathetic,5.363349874253141,4.534262295081967
baby come back,worried,5.60433093427916,4.251475409836066
down low nobody has to know,pensive,5.78970098045302,3.8555737704918034
thats what love can do,pensive,5.78970098045302,3.8555737704918034
endless love,pensive,5.78970098045302,3.8555737704918034
baby face,impressed,6.457033146678917,4.619098360655737
the air that i breathe,contemplative,6.809236234409252,3.8555737704918034
dont let me get me,embarassed,5.1594428234618945,3.8555737704918034
through the wire,worried,5.60433093427916,4.251475409836066
on the floor,worried,5.60433093427916,4.251475409836066
touch me i want your body,impressed,6.457033146678917,4.619098360655737
the look of love,impressed,6.457033146678917,4.619098360655737
whatcha see is whatcha get,pensive,5.78970098045302,3.8555737704918034
bang bang my baby shot me down,frustrated,4.6218696895577,5.269508196721311
swimming pools drank,worried,5.60433093427916,4.251475409836066
more than i can say,impressed,6.457033146678917,4.619098360655737
move ya body,impressed,6.457033146678917,4.619098360655737
mercy,worried,5.60433093427916,4.251475409836066
you used to love me,contemplative,6.809236234409252,3.8555737704918034
without me,embarassed,5.1594428234618945,3.8555737704918034
your precious love,hopeful,6.86484724826141,4.279754098360655
im leaving it up to you,pensive,5.78970098045302,3.8555737704918034
smooth criminal,pensive,5.78970098045302,3.8555737704918034
what about now,worried,5.60433093427916,4.251475409836066
tubular bells,pensive,5.78970098045302,3.8555737704918034
let the music play,impressed,6.457033146678917,4.619098360655737
dance dance dance yowsah yowsah yowsah,impressed,6.457033146678917,4.619098360655737
opposites attract,pensive,5.78970098045302,3.8555737704918034
when can i see you,pensive,5.78970098045302,3.8555737704918034
break your heart,apathetic,5.363349874253141,4.534262295081967
because i love you the postman song,peaceful,6.753625220557094,3.5727868852459017
fly over states,pensive,5.78970098045302,3.8555737704918034
ill give all my love to you,impressed,6.457033146678917,4.619098360655737
hey baby,impressed,6.457033146678917,4.619098360655737
ice box,worried,5.60433093427916,4.251475409836066
trap queen,worried,5.60433093427916,4.251475409836066
little bit o soul,pensive,5.78970098045302,3.8555737704918034
as long as you love me,impressed,6.457033146678917,4.619098360655737
live like you were dying,pensive,5.78970098045302,3.8555737704918034
wildest dreams,worried,5.60433093427916,4.251475409836066
bang bang,worried,5.60433093427916,4.251475409836066
bluer than blue,pensive,5.78970098045302,3.8555737704918034
weekend in new england,pensive,5.78970098045302,3.8555737704918034
im already there,pensive,5.78970098045302,3.8555737704918034
cant stop lovin you,pensive,5.78970098045302,3.8555737704918034
lost in your eyes,worried,5.60433093427916,4.251475409836066
put on,worried,5.60433093427916,4.251475409836066
leader of the band,impressed,6.457033146678917,4.619098360655737
the second time around,pensive,5.78970098045302,3.8555737704918034
wake me up when september ends,pensive,5.78970098045302,3.8555737704918034
go the distance,pensive,5.78970098045302,3.8555737704918034
shouldve never let you go,pensive,5.78970098045302,3.8555737704918034
the first cut is the deepest,impressed,6.457033146678917,4.619098360655737
heres to the night,pensive,5.78970098045302,3.8555737704918034
something happened on the way to heaven,pensive,5.78970098045302,3.8555737704918034
shes out of my life,impressed,6.457033146678917,4.619098360655737
ms jackson,worried,5.60433093427916,4.251475409836066
point of no return,pensive,5.78970098045302,3.8555737704918034
candle in the wind,pensive,5.78970098045302,3.8555737704918034
lighters,worried,5.60433093427916,4.251475409836066
locked away,worried,5.60433093427916,4.251475409836066
sweet soul music,impressed,6.457033146678917,4.619098360655737
major tom coming home,pensive,5.78970098045302,3.8555737704918034
bootylicious,pensive,5.78970098045302,3.8555737704918034
i still havent found what im looking for,pensive,5.78970098045302,3.8555737704918034
shame on the moon,worried,5.60433093427916,4.251475409836066
doing it all for my baby,contemplative,6.809236234409252,3.8555737704918034
9 to 5,worried,5.60433093427916,4.251475409836066
dont cry out loud,worried,5.60433093427916,4.251475409836066
im in you,impressed,6.457033146678917,4.619098360655737
welcome to the jungle,pensive,5.78970098045302,3.8555737704918034
streets of philadelphia,pensive,5.78970098045302,3.8555737704918034
turn around look at me,pensive,5.78970098045302,3.8555737704918034
sunshine superman,pensive,5.78970098045302,3.8555737704918034
united we stand,pensive,5.78970098045302,3.8555737704918034
i guess thats why they call it the blues,pensive,5.78970098045302,3.8555737704918034
how deep is your love,impressed,6.457033146678917,4.619098360655737
nobody but me,pensive,5.78970098045302,3.8555737704918034
get over yourself,pensive,5.78970098045302,3.8555737704918034
turn the beat around,impressed,6.457033146678917,4.619098360655737
swing my way,peaceful,6.753625220557094,3.5727868852459017
island girl,worried,5.60433093427916,4.251475409836066
counting stars,worried,5.60433093427916,4.251475409836066
thriller,apathetic,5.363349874253141,4.534262295081967
dont bring me down,pensive,5.78970098045302,3.8555737704918034
live like were dying,impressed,6.457033146678917,4.619098360655737
crazy for you,impressed,6.457033146678917,4.619098360655737
my list,pensive,5.78970098045302,3.8555737704918034
partition,impressed,6.457033146678917,4.619098360655737
hey there lonely girl,worried,5.60433093427916,4.251475409836066
rub you the right way,impressed,6.457033146678917,4.619098360655737
baby scratch my back,pensive,5.78970098045302,3.8555737704918034
stay the night,pensive,5.78970098045302,3.8555737704918034
